,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability
0,1,5,8,12,0.1,0.3,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
1,1,5,8,24,0.1,0.6,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
2,9,7,9,46,0.6,0.3,1.0883503848505383,0.8525447189762352,0.9514794494075471,1.1744632927672183,"[[  65 -138]
 [ 127   44]
 [  31   86]
 [   6  158]
 [-134 -170]
 [  29 -100]
 [-173   87]
 [ -17   80]
 [ -39 -193]]","[[ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]","[[ -17   80]
 [ -39 -193]
 [ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]",0.0
3,9,7,9,12,0.6,0.5,1.0883503848505383,0.8525447189762352,0.9514794494075471,1.1744632927672183,"[[  65 -138]
 [ 127   44]
 [  31   86]
 [   6  158]
 [-134 -170]
 [  29 -100]
 [-173   87]
 [ -17   80]
 [ -39 -193]]","[[ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]","[[ -17   80]
 [ -39 -193]
 [ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]",1.0
4,9,7,9,24,0.6,0.5,1.0883503848505383,0.8525447189762352,0.9514794494075471,1.1744632927672183,"[[  65 -138]
 [ 127   44]
 [  31   86]
 [   6  158]
 [-134 -170]
 [  29 -100]
 [-173   87]
 [ -17   80]
 [ -39 -193]]","[[ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]","[[ -17   80]
 [ -39 -193]
 [ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]",1.0
5,9,7,9,36,0.6,0.5,1.0883503848505383,0.8525447189762352,0.9514794494075471,1.1744632927672183,"[[  65 -138]
 [ 127   44]
 [  31   86]
 [   6  158]
 [-134 -170]
 [  29 -100]
 [-173   87]
 [ -17   80]
 [ -39 -193]]","[[ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]","[[ -17   80]
 [ -39 -193]
 [ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]",1.0
6,9,7,9,46,0.6,0.5,1.0883503848505383,0.8525447189762352,0.9514794494075471,1.1744632927672183,"[[  65 -138]
 [ 127   44]
 [  31   86]
 [   6  158]
 [-134 -170]
 [  29 -100]
 [-173   87]
 [ -17   80]
 [ -39 -193]]","[[ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]","[[ -17   80]
 [ -39 -193]
 [ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]",1.0
7,9,7,9,12,0.6,0.6,1.0883503848505383,0.8525447189762352,0.9514794494075471,1.1744632927672183,"[[  65 -138]
 [ 127   44]
 [  31   86]
 [   6  158]
 [-134 -170]
 [  29 -100]
 [-173   87]
 [ -17   80]
 [ -39 -193]]","[[ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]","[[ -17   80]
 [ -39 -193]
 [ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]",1.0
8,9,7,9,24,0.6,0.6,1.0883503848505383,0.8525447189762352,0.9514794494075471,1.1744632927672183,"[[  65 -138]
 [ 127   44]
 [  31   86]
 [   6  158]
 [-134 -170]
 [  29 -100]
 [-173   87]
 [ -17   80]
 [ -39 -193]]","[[ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]","[[ -17   80]
 [ -39 -193]
 [ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]",1.0
9,9,7,9,36,0.6,0.6,1.0883503848505383,0.8525447189762352,0.9514794494075471,1.1744632927672183,"[[  65 -138]
 [ 127   44]
 [  31   86]
 [   6  158]
 [-134 -170]
 [  29 -100]
 [-173   87]
 [ -17   80]
 [ -39 -193]]","[[ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]","[[ -17   80]
 [ -39 -193]
 [ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]",1.0
10,9,7,9,46,0.6,0.6,1.0883503848505383,0.8525447189762352,0.9514794494075471,1.1744632927672183,"[[  65 -138]
 [ 127   44]
 [  31   86]
 [   6  158]
 [-134 -170]
 [  29 -100]
 [-173   87]
 [ -17   80]
 [ -39 -193]]","[[ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]","[[ -17   80]
 [ -39 -193]
 [ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]",1.0
11,1,5,8,36,0.1,0.6,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
12,1,5,8,46,0.1,0.6,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
13,1,5,8,12,0.3,0.3,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
14,1,5,8,24,0.3,0.3,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
15,1,5,8,36,0.3,0.3,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
16,1,5,8,46,0.3,0.3,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
17,1,5,8,12,0.3,0.5,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
18,1,5,8,24,0.3,0.5,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
19,1,5,8,36,0.3,0.5,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
20,1,5,8,24,0.1,0.3,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
21,1,5,8,46,0.3,0.5,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
22,1,5,8,12,0.3,0.6,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
23,1,5,8,24,0.3,0.6,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
24,1,5,8,36,0.3,0.6,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
25,1,5,8,46,0.3,0.6,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
26,1,5,8,12,0.6,0.3,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
27,1,5,8,24,0.6,0.3,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
28,1,5,8,36,0.6,0.3,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
29,1,5,8,46,0.6,0.3,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
30,1,5,8,12,0.6,0.5,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
31,1,5,8,36,0.1,0.3,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
32,1,5,8,24,0.6,0.5,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
33,1,5,8,36,0.6,0.5,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
34,1,5,8,46,0.6,0.5,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
35,1,5,8,12,0.6,0.6,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
36,1,5,8,24,0.6,0.6,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
37,1,5,8,36,0.6,0.6,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
38,1,5,8,46,0.6,0.6,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
39,3,1,4,12,0.1,0.3,1.4922151616673214,0.0,1.2698531701696136,1.6901158327878893,"[[-156  187]
 [  76  137]
 [  23  183]]",[[-63 162]],"[[  76  137]
 [  23  183]
 [ -63  162]
 [-183  145]]",0.0
40,3,1,4,24,0.1,0.3,1.4922151616673214,0.0,1.2698531701696136,1.6901158327878893,"[[-156  187]
 [  76  137]
 [  23  183]]",[[-63 162]],"[[  76  137]
 [  23  183]
 [ -63  162]
 [-183  145]]",0.0
41,3,1,4,36,0.1,0.3,1.4922151616673214,0.0,1.2698531701696136,1.6901158327878893,"[[-156  187]
 [  76  137]
 [  23  183]]",[[-63 162]],"[[  76  137]
 [  23  183]
 [ -63  162]
 [-183  145]]",0.0
42,1,5,8,46,0.1,0.3,0.0,1.5816272879901474,1.4028688861530636,1.1813213542247787,[[62 17]],"[[  35  -52]
 [-114  103]
 [  26  117]
 [ 140 -133]
 [ 164   58]]","[[ 164   58]
 [-197  148]
 [ 197   73]
 [ -58  -19]
 [ -25  132]
 [ 197  104]
 [  -3 -156]
 [-135  -76]]",0.0
43,3,1,4,46,0.1,0.3,1.4922151616673214,0.0,1.2698531701696136,1.6901158327878893,"[[-156  187]
 [  76  137]
 [  23  183]]",[[-63 162]],"[[  76  137]
 [  23  183]
 [ -63  162]
 [-183  145]]",0.0
44,3,1,4,12,0.1,0.5,1.4922151616673214,0.0,1.2698531701696136,1.6901158327878893,"[[-156  187]
 [  76  137]
 [  23  183]]",[[-63 162]],"[[  76  137]
 [  23  183]
 [ -63  162]
 [-183  145]]",0.9
