,Unnamed: 0,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,s1
0,0,6,4,8,36,0.3,0.5,0.900542114160833,0.8462918093458021,1.1492086052073514,1.1809122851776184,"[[   3  -54]
 [  -4  124]
 [ 117  159]
 [ 187 -158]
 [ 127   46]
 [  43  -21]]","[[-115   51]
 [-112  -12]
 [ -77   72]
 [ 147  165]]","[[ 127   46]
 [  43  -21]
 [-115   51]
 [-112  -12]
 [ -77   72]
 [ 147  165]
 [ 188 -191]
 [ -57 -136]]",1.0,"frozenset({-158, 3, -54, 43, -4, 127, 46, -21, 117, 187, 124, 159})"
2,2,10,7,5,36,0.3,0.5,1.067200951942159,1.0783430339968252,0.6122638516406346,0.5744606790185698,"[[ -75   12]
 [-106   -7]
 [ 158 -125]
 [ 154  155]
 [-129 -113]
 [-163 -116]
 [ -71 -165]
 [  -2  147]
 [ 144  104]
 [ -94  151]]","[[ -32  180]
 [-123  138]
 [ -66 -119]
 [ -72 -151]
 [ -65   78]
 [-172 -151]
 [ 143 -167]]","[[  -2  147]
 [ 144  104]
 [ -94  151]
 [ -32  180]
 [-123  138]]",1.0,"frozenset({-125, 12, -116, -113, 144, 147, -106, 151, 154, 155, -165, -163, 158, -7, -94, 104, -75, -71, -2, -129})"
5,5,7,4,8,36,0.3,0.5,1.0104413163514063,1.2558822282897226,1.143042635093274,1.1021148397513865,"[[  -4  -38]
 [ 148  146]
 [ 171 -148]
 [ -10  150]
 [ 172   13]
 [ 164  -34]
 [  78 -146]]","[[ 154   84]
 [  85  -84]
 [  99  195]
 [ -67 -145]]","[[ 172   13]
 [ 164  -34]
 [  78 -146]
 [ 154   84]
 [  85  -84]
 [  99  195]
 [ -67 -145]
 [-136  -28]]",1.0,"frozenset({164, 171, -148, 172, 13, 78, -146, 146, 148, -10, 150, -38, -4, -34})"
6,6,8,7,8,36,0.3,0.5,0.9250747354909884,0.9404731113625632,0.9883652814279869,1.1506028821270766,"[[-165  -31]
 [  87  140]
 [ 141  190]
 [ -93   -6]
 [  80  164]
 [-191   10]
 [-184  -64]
 [-176   77]]","[[  14  -58]
 [-129 -162]
 [-106   61]
 [ 183  -67]
 [-200 -198]
 [  -9   38]
 [   7   60]]","[[-176   77]
 [  14  -58]
 [-129 -162]
 [-106   61]
 [ 183  -67]
 [-200 -198]
 [  -9   38]
 [   7   60]]",1.0,"frozenset({-64, -191, -184, 10, 140, 141, 77, 80, -176, 87, -165, -31, -93, 164, -6, 190})"
7,7,6,2,5,36,0.3,0.5,1.2402188769108886,0.5244127592789669,1.1100376629969104,1.2765022531911117,"[[ -60 -119]
 [ 102   41]
 [ 117  -25]
 [  76  109]
 [  64  -14]
 [ 195  141]]","[[-16  19]
 [ 41 -17]]","[[117 -25]
 [ 76 109]
 [ 64 -14]
 [195 141]
 [-16  19]]",1.0,"frozenset({64, 195, -60, 102, -25, -119, 41, 76, 109, 141, -14, 117})"
8,8,8,5,5,36,0.3,0.5,1.2137084932990674,0.9617614165723488,0.8894405126590795,1.086143001517305,"[[ -85  -71]
 [ 174   67]
 [-163  104]
 [ -99 -153]
 [ 192   14]
 [ 124 -140]
 [  71 -191]
 [-104  -50]]","[[ 196 -106]
 [ -36 -168]
 [  36  -45]
 [-126   28]
 [  41 -114]]","[[ 124 -140]
 [  71 -191]
 [-104  -50]
 [ 196 -106]
 [ -36 -168]]",1.0,"frozenset({192, -191, 67, 71, 14, -50, -104, -99, -163, -153, 104, -85, 174, -140, -71, 124})"
13,13,9,3,8,36,0.3,0.5,1.1187497548765704,0.9338924369559328,1.0949994043488032,1.2500750281793536,"[[-173  -99]
 [ 189  127]
 [-155   26]
 [-162 -158]
 [  59  131]
 [  35  -75]
 [-180  193]
 [ 118  159]
 [-153 -143]]","[[152 -72]
 [110 111]
 [-67 -51]]","[[-162 -158]
 [  59  131]
 [  35  -75]
 [-180  193]
 [ 118  159]
 [-153 -143]
 [ 152  -72]
 [ 110  111]]",1.0,"frozenset({193, 131, -180, -173, 26, -99, -162, 159, -158, 35, -155, -153, -143, -75, 118, 59, 189, 127})"
16,16,5,5,8,36,0.3,0.5,1.0652081902616215,0.9254541513432952,0.967112067594186,1.1414109172550844,"[[ -69  190]
 [ 114  -92]
 [  57  139]
 [  -6  107]
 [-166  -54]]","[[ -50 -145]
 [ -66 -127]
 [-106 -183]
 [  30  121]
 [ -13  113]]","[[ -50 -145]
 [ -66 -127]
 [-106 -183]
 [  30  121]
 [ -13  113]
 [ -42   59]
 [ 150  107]
 [   9  -71]]",1.0,"frozenset({-92, -54, 139, 107, 114, 57, -6, -69, -166, 190})"
21,21,3,10,7,36,0.3,0.5,0.7749117715241767,1.161755473455529,1.2411425776745797,1.0928867246933882,"[[110 101]
 [154 -98]
 [154 -85]]","[[ 148  -49]
 [ 197   99]
 [ 187   -7]
 [-182  -21]
 [  20  184]
 [ 164  121]
 [ 115   67]
 [ 124  146]
 [ 168  -37]
 [-120 -110]]","[[ 124  146]
 [ 168  -37]
 [-120 -110]
 [ 120 -139]
 [  13   93]
 [ 182   54]
 [ 146  100]]",1.0,"frozenset({-98, 101, 154, -85, 110})"
22,22,10,7,8,36,0.3,0.5,1.096943494525508,0.9878674676850372,0.9640785385535802,1.0829872870187487,"[[ 118 -180]
 [ -40 -182]
 [ -23   72]
 [ 176 -112]
 [ 114  103]
 [ 130  131]
 [ -72  -57]
 [ -89  -97]
 [ -85  158]
 [-108  147]]","[[  38  150]
 [ 152 -111]
 [-144  -21]
 [  -1   32]
 [-182   99]
 [ 101  132]
 [ -30  162]]","[[ -89  -97]
 [ -85  158]
 [-108  147]
 [  38  150]
 [ 152 -111]
 [-144  -21]
 [  -1   32]
 [-182   99]]",1.0,"frozenset({130, 131, -57, 72, -182, -180, -112, 147, -108, -40, 158, -97, -89, 103, -23, -85, 176, 114, 118, -72})"
24,24,8,3,3,36,0.3,0.5,0.9705815583347586,1.1800645086496446,1.0705586246392829,0.8067520635214156,"[[ 113  -15]
 [  52  111]
 [ -63  -25]
 [ 128  -34]
 [ 130  190]
 [ -22   88]
 [-137  177]
 [-196 -187]]","[[-153   62]
 [ 121  -99]
 [-199  160]]","[[128 -34]
 [130 190]
 [-22  88]]",1.0,"frozenset({128, -63, 130, -187, 88, -34, -25, -22, 111, 113, -15, 177, 52, -137, -196, 190})"
27,27,8,5,10,36,0.3,0.5,0.8735846612447862,1.029449244203455,1.157061942557133,1.118293027161854,"[[  -2   81]
 [  -4 -112]
 [ 164  164]
 [  82 -122]
 [  95  111]
 [ -35 -124]
 [  91  170]
 [ -79 -104]]","[[-197  166]
 [ 154   77]
 [ -59  -21]
 [-156 -130]
 [-141    4]]","[[ -35 -124]
 [  91  170]
 [ -79 -104]
 [-197  166]
 [ 154   77]
 [ -59  -21]
 [-156 -130]
 [-141    4]
 [ 117 -165]
 [ 141  146]]",1.0,"frozenset({164, -124, -122, 170, 111, -112, 81, 82, -79, -104, 91, -4, -35, -2, 95})"
29,29,5,9,3,36,0.3,0.5,1.117808486554656,0.988708958534824,0.8860878663929209,1.134676403636932,"[[ -30  177]
 [-107  -57]
 [ 196   93]
 [ 167 -163]
 [  35  193]]","[[ -42 -182]
 [  -1  -89]
 [-156   67]
 [ -66  159]
 [ -64 -180]
 [-114  153]
 [-152  135]
 [ 142   93]
 [ 195   69]]","[[ -64 -180]
 [-114  153]
 [-152  135]]",1.0,"frozenset({193, -30, 35, 196, -57, 167, -163, 177, -107, 93})"
32,32,5,6,10,36,0.3,0.5,0.9470416396017592,0.952234917920524,1.024684960289624,1.1321260641214774,"[[ -98   64]
 [ 142  183]
 [ -80   39]
 [-117  -74]
 [ -76  -49]]","[[ 102    3]
 [-113 -175]
 [  11   73]
 [ 158 -106]
 [ -43  -82]
 [ -45  -34]]","[[-113 -175]
 [  11   73]
 [ 158 -106]
 [ -43  -82]
 [ -45  -34]
 [-154   24]
 [-174  -48]
 [  42  -15]
 [  85  -88]
 [  82  111]]",1.0,"frozenset({64, 39, -117, 142, -49, -80, -76, -74, 183, -98})"
33,33,7,6,10,36,0.3,0.5,0.9610237509052424,0.8282109999277595,0.8965731138451967,1.09212514280382,"[[-130 -120]
 [ -15 -193]
 [  96  -95]
 [ -67   26]
 [-110  161]
 [  80 -189]
 [ 144  -72]]","[[ 121  127]
 [-156  -90]
 [ -69   96]
 [ -36  110]
 [-193   15]
 [  49   44]]","[[ 144  -72]
 [ 121  127]
 [-156  -90]
 [ -69   96]
 [ -36  110]
 [-193   15]
 [  49   44]
 [ -37  -70]
 [  90   24]
 [ -98  -22]]",1.0,"frozenset({96, -95, 161, -189, -120, 80, -15, -110, 144, -72, 26, -67, -130, -193})"
34,34,6,3,8,36,0.3,0.5,0.7736415421454688,0.8867467450512913,1.0664275771179974,1.04939251930687,"[[-136  175]
 [-143 -150]
 [  98  182]
 [-154  181]
 [-135  -16]
 [-151  115]]","[[ -46   48]
 [ -37 -123]
 [ 198 -160]]","[[-154  181]
 [-135  -16]
 [-151  115]
 [ -46   48]
 [ -37 -123]
 [ 198 -160]
 [  67 -134]
 [-163  106]]",1.0,"frozenset({98, -154, -151, -150, 175, -16, -143, 115, 181, 182, -136, -135})"
37,37,8,9,8,36,0.3,0.5,1.0891233322330744,0.9286446694577734,0.9861009021927888,1.173145066723493,"[[  -7  -99]
 [-100  -90]
 [ -78  129]
 [ 150  106]
 [-126 -115]
 [-183  -38]
 [  58  181]
 [  97 -199]]","[[  57   41]
 [  40  -38]
 [  75  114]
 [-178  120]
 [ 197  164]
 [-153   59]
 [ 131  -80]
 [ -50  -78]
 [ 108   73]]","[[  40  -38]
 [  75  114]
 [-178  120]
 [ 197  164]
 [-153   59]
 [ 131  -80]
 [ -50  -78]
 [ 108   73]]",1.0,"frozenset({129, -126, -183, -115, 150, -38, -100, -7, -99, 97, -90, 106, -78, 181, -199, 58})"
39,39,10,8,5,36,0.3,0.5,1.1842524743911191,0.9057450020733374,1.1131618846671958,1.243408301976615,"[[-169   -9]
 [-154  -14]
 [  34 -161]
 [ 141  -25]
 [  87  -46]
 [ 187   86]
 [  42  170]
 [ 100  148]
 [-131   54]
 [ 172  120]]","[[-115  106]
 [ -27  116]
 [  92 -160]
 [ 106   66]
 [ 106  -19]
 [  53   21]
 [ -49  -68]
 [ 125   62]]","[[-131   54]
 [ 172  120]
 [-115  106]
 [ -27  116]
 [  92 -160]]",1.0,"frozenset({141, -46, 148, 86, -169, 87, -161, 34, 100, -154, -25, 42, 170, 172, -14, 54, -9, 120, 187, -131})"
46,46,9,3,9,36,0.3,0.5,1.258558194999576,0.8694331310520698,0.9869580229086196,1.2888454760161936,"[[ 197 -151]
 [-186  -43]
 [  24   46]
 [ -44 -116]
 [  -7 -172]
 [-156 -122]
 [  77  -56]
 [-191  193]
 [  36   31]]","[[-125 -163]
 [ -48 -151]
 [  59  -29]]","[[ -44 -116]
 [  -7 -172]
 [-156 -122]
 [  77  -56]
 [-191  193]
 [  36   31]
 [-125 -163]
 [ -48 -151]
 [  59  -29]]",1.0,"frozenset({-191, 193, 197, -186, -122, -56, -116, 77, -44, -43, -172, 24, 31, -156, 36, -151, 46, -7})"
47,47,8,10,10,36,0.3,0.5,0.8191242440493818,1.0332117113701806,1.1448131346992254,1.1144081330481594,"[[  -4 -173]
 [ -54   66]
 [ -20 -147]
 [ 163 -140]
 [ -12   56]
 [ 107  -95]
 [-145   59]
 [   7  -86]]","[[-196  186]
 [ 118   76]
 [  97  -74]
 [-198  193]
 [ 168 -152]
 [  67  -49]
 [  79   49]
 [ 182   15]
 [  88   92]
 [-133  113]]","[[  97  -74]
 [-198  193]
 [ 168 -152]
 [  67  -49]
 [  79   49]
 [ 182   15]
 [  88   92]
 [-133  113]
 [-182   40]
 [ 135 -198]]",1.0,"frozenset({66, 7, -54, -173, -95, 163, -86, 107, -20, -147, -145, -140, -12, 56, 59, -4})"
50,50,3,8,8,36,0.3,0.5,1.3065279767175468,1.0094019171125543,0.760448050071335,0.8460198726562349,"[[ 134 -107]
 [ -90   88]
 [ 142  154]]","[[ 187 -142]
 [  59   73]
 [  96   44]
 [ 115 -127]
 [ -72  -88]
 [ -58  146]
 [  19   10]
 [-188  -27]]","[[ -58  146]
 [  19   10]
 [-188  -27]
 [ -40  -19]
 [  61  141]
 [ -59  -25]
 [ -77  176]
 [ -22  -52]]",1.0,"frozenset({-107, -90, 134, 88, 154, 142})"
51,51,6,8,1,36,0.3,0.5,0.8019906152910267,0.8389639199153193,0.0,0.0,"[[ 102  183]
 [ 195   50]
 [ 134 -175]
 [ 180  -39]
 [ 198   63]
 [ -79  -11]]","[[ -93  175]
 [-140   66]
 [ 101 -194]
 [ 145 -136]
 [ -13   38]
 [-113  -59]
 [-110   99]
 [-145  156]]",[[ 101 -194]],1.0,"frozenset({195, 134, 102, 198, -175, 50, -79, 180, -11, 183, -39, 63})"
52,52,3,5,8,36,0.3,0.5,1.4476499773732143,0.8422727750544693,0.8739274667434853,1.2029542607988404,"[[  14  -28]
 [ 200  196]
 [ -87 -181]]","[[ 151  -72]
 [ -38  -29]
 [ 127  -96]
 [-170   23]
 [ -41 -113]]","[[ 127  -96]
 [-170   23]
 [ -41 -113]
 [-157 -177]
 [  75 -154]
 [-149  -14]
 [ 133 -110]
 [ 155    2]]",1.0,"frozenset({196, -28, 200, -87, -181, 14})"
54,54,7,4,5,36,0.3,0.5,0.9900168469666696,0.9982020771811893,1.283574750201129,1.275522576856551,"[[ 172   -2]
 [-192   25]
 [ -42  -25]
 [ -19  -29]
 [ 139   16]
 [ 126 -182]
 [-138  141]]","[[ -12  168]
 [-198  -59]
 [ 117  184]
 [ -16   51]]","[[ 139   16]
 [ 126 -182]
 [-138  141]
 [ -12  168]
 [-198  -59]]",1.0,"frozenset({-192, -29, -25, -182, 139, 172, -19, 141, 16, -42, -138, 25, 126, -2})"
