,Unnamed: 0,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability
1,1,6,6,5,24,0.1,0.6,0.9041112591816638,1.124600555918177,1.1336500785083936,1.1697643093057315,"[[  23  185]
 [ -11 -142]
 [  46  -42]
 [-200   24]
 [ -76  157]
 [   4   94]]","[[ -92 -155]
 [ -19  172]
 [  74   68]
 [ 169  -17]
 [  66 -191]
 [-155 -184]]","[[ -92 -155]
 [ -19  172]
 [  74   68]
 [ 169  -17]
 [  66 -191]]",1.0
2,2,9,9,6,46,0.6,0.3,0.8121926278546837,1.078630423707732,1.2515304729438097,1.1842099444996286,"[[ -79  -41]
 [  -5 -157]
 [ -66 -132]
 [  77   11]
 [  20   22]
 [  57   29]
 [ 116  122]
 [ -98 -126]
 [-134  -62]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]
 [   9  106]
 [-173  111]
 [  33  167]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]]",1.0
3,3,9,9,6,12,0.6,0.5,0.8121926278546837,1.078630423707732,1.2515304729438097,1.1842099444996286,"[[ -79  -41]
 [  -5 -157]
 [ -66 -132]
 [  77   11]
 [  20   22]
 [  57   29]
 [ 116  122]
 [ -98 -126]
 [-134  -62]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]
 [   9  106]
 [-173  111]
 [  33  167]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]]",1.0
4,4,9,9,6,24,0.6,0.5,0.8121926278546837,1.078630423707732,1.2515304729438097,1.1842099444996286,"[[ -79  -41]
 [  -5 -157]
 [ -66 -132]
 [  77   11]
 [  20   22]
 [  57   29]
 [ 116  122]
 [ -98 -126]
 [-134  -62]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]
 [   9  106]
 [-173  111]
 [  33  167]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]]",1.0
5,5,9,9,6,36,0.6,0.5,0.8121926278546837,1.078630423707732,1.2515304729438097,1.1842099444996286,"[[ -79  -41]
 [  -5 -157]
 [ -66 -132]
 [  77   11]
 [  20   22]
 [  57   29]
 [ 116  122]
 [ -98 -126]
 [-134  -62]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]
 [   9  106]
 [-173  111]
 [  33  167]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]]",1.0
6,6,9,9,6,46,0.6,0.5,0.8121926278546837,1.078630423707732,1.2515304729438097,1.1842099444996286,"[[ -79  -41]
 [  -5 -157]
 [ -66 -132]
 [  77   11]
 [  20   22]
 [  57   29]
 [ 116  122]
 [ -98 -126]
 [-134  -62]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]
 [   9  106]
 [-173  111]
 [  33  167]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]]",1.0
7,7,9,9,6,12,0.6,0.6,0.8121926278546837,1.078630423707732,1.2515304729438097,1.1842099444996286,"[[ -79  -41]
 [  -5 -157]
 [ -66 -132]
 [  77   11]
 [  20   22]
 [  57   29]
 [ 116  122]
 [ -98 -126]
 [-134  -62]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]
 [   9  106]
 [-173  111]
 [  33  167]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]]",1.0
8,8,9,9,6,24,0.6,0.6,0.8121926278546837,1.078630423707732,1.2515304729438097,1.1842099444996286,"[[ -79  -41]
 [  -5 -157]
 [ -66 -132]
 [  77   11]
 [  20   22]
 [  57   29]
 [ 116  122]
 [ -98 -126]
 [-134  -62]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]
 [   9  106]
 [-173  111]
 [  33  167]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]]",1.0
9,9,9,9,6,36,0.6,0.6,0.8121926278546837,1.078630423707732,1.2515304729438097,1.1842099444996286,"[[ -79  -41]
 [  -5 -157]
 [ -66 -132]
 [  77   11]
 [  20   22]
 [  57   29]
 [ 116  122]
 [ -98 -126]
 [-134  -62]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]
 [   9  106]
 [-173  111]
 [  33  167]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]]",1.0
10,10,9,9,6,46,0.6,0.6,0.8121926278546837,1.078630423707732,1.2515304729438097,1.1842099444996286,"[[ -79  -41]
 [  -5 -157]
 [ -66 -132]
 [  77   11]
 [  20   22]
 [  57   29]
 [ 116  122]
 [ -98 -126]
 [-134  -62]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]
 [   9  106]
 [-173  111]
 [  33  167]]","[[  90 -180]
 [ -79  -75]
 [-113   18]
 [ 199  142]
 [ -22  168]
 [  40   37]]",1.0
